Arvopäivä;Selitys;Määrä EUROA;Saaja/Maksaja;Viesti
2024-01-01;Palkka;2500,00;Työnantaja;Monthly salary
2024-01-03;Ruokakauppa;-45,50;Kesko;Groceries and household items
2024-01-05;Sähkölasku;-65,30;Fingrid;January electricity bill
2024-01-06;Bussilippu;-4,50;HSL;Monthly transport pass
2024-01-08;Elokuvalippu;-14,00;Finnkino;Movie tickets x2
2024-01-10;Bensa;-55,00;Shell;Fuel fill-up
2024-01-12;Ravintola;-32,75;Restaurant A;Dinner with friends
2024-01-15;Gym-jäsenmaksu;-39,99;FitnessPro;Monthly fitness membership
2024-01-17;Ruokakauppa;-78,20;S-Market;Weekly groceries shopping
2024-01-19;Kirja;-19,95;Adlibris;Online book purchase
2024-01-22;Kahvila;-6,50;Starbucks;Coffee and muffin
2024-01-25;Lääkäri;-50,00;Terveyspalvelu;Doctor visit copay
2024-01-28;Vaatteet;-89,99;H&M;Winter jacket sale
2024-02-01;Vuokra;-900,00;Kiinteistöyhtiö;Apartment rent February
2024-02-02;Palkka;2500,00;Työnantaja;Monthly salary
2024-02-04;Ruokakauppa;-52,30;Lidl;Groceries weekly
2024-02-06;Kino;-12,00;Finnkino;Movie ticket
2024-02-08;Bensa;-58,00;Neste;Fuel fill-up
2024-02-10;Illallinen;-48,00;Restaurant B;Date night dinner
2024-02-12;Internetlasku;-29,99;Telia;Internet and phone bill
2024-02-14;Lahja;-25,00;Sokos;Valentine's gift
2024-02-16;Ruokakauppa;-61,80;K-Market;Weekly shopping
2024-02-18;Kuntosali;-39,99;FitnessPro;Monthly gym membership
2024-02-20;Hammashoito;-120,00;Hammashoitola;Dental cleaning
2024-02-22;Pelit;-59,99;Steam;Video game purchase
2024-02-24;Taksi;-18,00;Uber;Ride to airport
2024-02-26;Lentolippu;-189,00;Finnair;Flight ticket sale
2024-03-01;Palkka;2500,00;Työnantaja;Monthly salary March
2024-03-02;Hotellinko;-125,00;Hotel Sokos;Weekend trip accommodation
2024-03-04;Ruokakauppa;-67,80;Citymarket;Weekly groceries
2024-03-06;Sähkölasku;-72,45;Fingrid;March electricity bill
2024-03-08;Kino;-11,50;Finnkino;Cinema ticket
2024-03-10;Ravintola;-35,50;Restaurant C;Lunch with colleagues
2024-03-12;Bensa;-62,00;Shell;Fuel fill-up tank
2024-03-14;Gym-jäsenmaksu;-39,99;FitnessPro;Monthly fitness membership
2024-03-16;Ruokakauppa;-43,20;S-Market;Weekly groceries
2024-03-18;Kukat;-30,00;Puutarha;Spring flowers for home
2024-03-20;Verkkokurssi;-99,00;Skillshare;Online course enrollment
2024-03-22;Kahvila;-7,50;Local Cafe;Coffee meeting
2024-03-24;Kirja;-24,95;Adlibris;New fiction book
2024-03-26;Hammashoito;-45,00;Hammashoitola;Dental check-up
2024-03-28;Ruokakauppa;-55,60;Kesko;Weekly shopping
2024-03-30;Bussilippu;-4,50;HSL;Transport top-up
2024-04-01;Palkka;2500,00;Työnantaja;Monthly salary April
2024-04-02;Vuokra;-900,00;Kiinteistöyhtiö;Apartment rent April
2024-04-04;Ruokakauppa;-71,30;Lidl;Groceries shopping
2024-04-06;Sähkölasku;-68,00;Fingrid;April electricity bill
2024-04-08;Kino;-13,00;Finnkino;Movie premiere tickets
2024-04-10;Bensa;-60,50;Neste;Fuel fill-up
2024-04-12;Ravintola;-42,00;Restaurant D;Team building dinner
2024-04-14;Gym-jäsenmaksu;-39,99;FitnessPro;Monthly fitness pass
2024-04-16;Ruokakauppa;-49,90;S-Market;Weekly groceries
2024-04-18;Vaatteet;-75,00;Zara;Spring clothing
2024-04-20;Internetlasku;-29,99;Telia;Internet phone bill
2024-04-22;Kahvila;-6,80;Espresso House;Coffee and snack
2024-04-24;Kirja;-18,50;Adlibris;Business book purchase
2024-04-26;Lääkäri;-60,00;Terveyspalvelu;Doctor appointment
2024-04-28;Ruokakauppa;-58,40;Citymarket;Weekly shopping
2024-04-30;Bonus;75,00;Pankkisi;Cashback rewards
